runn, x, y, z 
47190, -6.485042, 2.418074, 24.433187 
47191, -6.405859, 2.385276, 16.652447 
47192, -6.396505, 2.427413, 16.921080 
47193, -6.501193, 2.170359, 17.464975 
47194, -6.526417, 2.140621, 18.111135 
47195, -6.533749, 2.164151, 18.745195 
47196, -6.510327, 2.309054, 19.844555 
47197, -6.488502, 2.469880, 21.393497 
47198, -6.621427, 2.191537, 22.808739 
47199, -6.640844, 2.194944, 23.671743 
47200, -6.648384, 2.208960, 24.183453 
47201, -6.647491, 2.232475, 24.475651 
47202, -6.620563, 2.321119, 24.621885 
47203, 1.024159, 7.688327, 17.952551 
47204, 0.867629, 7.713639, 18.190790 
47205, 0.850550, 7.727844, 18.673145 
47206, 0.860644, 7.741344, 19.246197 
47207, 0.920518, 7.748810, 19.808516 
47208, 0.899816, 7.776125, 20.783487 
47209, 0.892519, 7.812021, 22.157177 
47210, 0.925681, 7.840204, 23.412291 
47211, 0.950619, 7.856765, 24.177650 
47212, 0.952407, 7.868138, 24.631460 
47213, 0.941049, 7.876122, 24.890598 
47214, 0.941243, 7.879410, 25.020287 
47215, 0.825786, 7.707566, 17.890684 
47216, 0.674564, 7.728461, 18.138937 
47217, 0.651511, 7.742970, 18.641571 
47218, 0.658197, 7.757292, 19.238714 
47219, 0.718942, 7.766517, 19.824671 
47220, 0.700936, 7.793504, 20.840631 
47221, 0.698134, 7.829457, 22.272070 
47222, 0.721219, 7.859993, 23.579948 
47223, 0.745026, 7.877673, 24.377485 
47224, 0.748655, 7.889130, 24.850372 
47225, 0.737772, 7.896893, 25.120405 
47226, 0.737877, 7.900254, 25.255545 
47227, 0.258346, 7.729622, 17.778996 
47228, 0.122925, 7.739002, 18.044788 
47229, 0.082789, 7.751766, 18.582937 
47230, 0.079595, 7.766328, 19.222269 
47231, 0.142447, 7.779688, 19.849628 
47232, 0.132346, 7.820179, 20.937370 
47233, 0.142211, 7.854838, 22.469946 
47234, 0.136082, 7.886773, 23.870230 
47235, 0.156410, 7.905804, 24.724115 
47236, 0.165231, 7.917132, 25.230415 
47237, 0.155707, 7.923897, 25.519527 
47238, 0.155534, 7.927188, 25.664215 
47239, -0.631597, 7.724435, 17.461102 
47240, -0.741563, 7.720850, 17.712683 
47241, -0.808252, 7.726709, 18.222054 
47242, -0.826884, 7.739656, 18.827200 
47243, -0.761044, 7.761034, 19.421013 
47244, -0.759365, 7.786558, 20.450590 
47245, -0.729704, 7.825109, 21.901217 
47246, -0.781529, 7.852755, 23.226624 
47247, -0.766829, 7.874111, 24.034851 
47248, -0.749938, 7.887538, 24.514078 
47249, -0.757235, 7.893580, 24.787729 
47250, -0.757841, 7.896894, 24.924681 
47251, -2.039985, 7.515928, 17.440178 
47252, -2.107780, 7.503604, 17.687555 
47253, -2.213840, 7.486022, 18.188416 
47254, -2.260328, 7.503894, 18.783449 
47255, -2.191604, 7.539413, 19.367340 
47256, -2.171466, 7.571497, 20.379715 
